NCM;Categoria;Descricao;InicioVigencia;FimVigencia;UTrib;DescricaoUTrib;Observacao
02062200;CARNES E MIUDEZAS, COMESTÍVEIS;02062200 - FÍGADOS DE BOVINOS CONGELADOS;01/01/2016;;KG;QUILOGRAMA;
02062910;CARNES E MIUDEZAS, COMESTÍVEIS;02062910 - RABOS DE BOVINOS CONGELADOS;01/01/2016;;KG;QUILOGRAMA;
02062990;CARNES E MIUDEZAS, COMESTÍVEIS;02062990 - OUTRAS MIUDEZAS COMESTÍVEIS., D/BOVINO,CONG.;01/01/2016;;KG;QUILOGRAMA;
02063000;CARNES E MIUDEZAS, COMESTÍVEIS;02063000 - MIUDEZAS DA ESPÉCIE SUÍNA FRESCAS OU REFR.;01/01/2016;;KG;QUILOGRAMA;
02064100;CARNES E MIUDEZAS, COMESTÍVEIS;02064100 - FÍGADOS DE SUÍNOS, CONGELADOS;01/01/2016;;KG;QUILOGRAMA;
02064900;CARNES E MIUDEZAS, COMESTÍVEIS;02064900 - OUTRAS MIUDEZAS DE SUÍNOS, CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02068000;CARNES E MIUDEZAS, COMESTÍVEIS;02068000 - OUTRAS MIUDEZAS FRESCAS OU REFRIGERADAS;01/01/2016;;KG;QUILOGRAMA;
02069000;CARNES E MIUDEZAS, COMESTÍVEIS;02069000 - OUTRAS MIUDEZAS CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02071100;CARNES E MIUDEZAS, COMESTÍVEIS;02071100 - CARNES GALOS/GALINHAS,Ñ CORT.,FRESCAS/REFR.;01/01/2016;;KG;QUILOGRAMA;
02071200;CARNES E MIUDEZAS, COMESTÍVEIS;02071200 - CARNES GALOS/GALINHAS,Ñ CORT.,CONGELADO;01/01/2016;;KG;QUILOGRAMA;
02071300;CARNES E MIUDEZAS, COMESTÍVEIS;02071300 - PEDAÇOS/MIUDEZ.,D/GALOS/GALINHAS,FRESC,REF.;01/01/2016;;KG;QUILOGRAMA;
02071400;CARNES E MIUDEZAS, COMESTÍVEIS;02071400 - PEDAÇOS E MIUDEZ.DE GALOS E GALINHAS,CONG.;01/01/2016;;KG;QUILOGRAMA;
02072400;CARNES E MIUDEZAS, COMESTÍVEIS;02072400 - CARNES DE PERUAS/PERUS, Ñ CORT.,FRES/REFR.;01/01/2016;;KG;QUILOGRAMA;
02072500;CARNES E MIUDEZAS, COMESTÍVEIS;02072500 - CARNES DE PERUS/AS Ñ CORT.PEDAÇOS, CONG.;01/01/2016;;KG;QUILOGRAMA;
02072600;CARNES E MIUDEZAS, COMESTÍVEIS;02072600 - CARNES DE PERUAS/US,MIUDEZ.,FRESCOS/REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02072700;CARNES E MIUDEZAS, COMESTÍVEIS;02072700 - CARNES PEDAÇOS E MIUDEZ.DE PERUS/AS,CONG.;01/01/2016;;KG;QUILOGRAMA;
02074100;CARNES E MIUDEZAS, COMESTÍVEIS;02074100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE PATOS;01/01/2016;;KG;QUILOGRAMA;
02074200;CARNES E MIUDEZAS, COMESTÍVEIS;02074200 - CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE PATOS;01/01/2016;;KG;QUILOGRAMA;
02074300;CARNES E MIUDEZAS, COMESTÍVEIS;02074300 - FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE PATOS;01/01/2016;;KG;QUILOGRAMA;
02074400;CARNES E MIUDEZAS, COMESTÍVEIS;02074400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE PATOS;01/01/2016;;KG;QUILOGRAMA;
02074500;CARNES E MIUDEZAS, COMESTÍVEIS;02074500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE PATOS;01/01/2016;;KG;QUILOGRAMA;
02075100;CARNES E MIUDEZAS, COMESTÍVEIS;02075100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE GANSO;01/01/2016;;KG;QUILOGRAMA;
02075200;CARNES E MIUDEZAS, COMESTÍVEIS;02075200 - CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE GANSOS;01/01/2016;;KG;QUILOGRAMA;
02075300;CARNES E MIUDEZAS, COMESTÍVEIS;02075300 - FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE GANSOS;01/01/2016;;KG;QUILOGRAMA;
02075400;CARNES E MIUDEZAS, COMESTÍVEIS;02075400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE GANSOS;01/01/2016;;KG;QUILOGRAMA;
02075500;CARNES E MIUDEZAS, COMESTÍVEIS;02075500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE GANSOS;01/01/2016;;KG;QUILOGRAMA;
02076000;CARNES E MIUDEZAS, COMESTÍVEIS;02076000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/GALINAS-D'ANGOLA;01/01/2016;;KG;QUILOGRAMA;
02081000;CARNES E MIUDEZAS, COMESTÍVEIS;02081000 - CARNES,MIUDEZ.D/COELHO,LEBRE,FR/REFR.CONG.;01/01/2016;;KG;QUILOGRAMA;
02083000;CARNES E MIUDEZAS, COMESTÍVEIS;02083000 - CARNES,MIUD.COM.D/PRIMATAS FRES.REFR.CONG.;01/01/2016;;KG;QUILOGRAMA;
02084000;CARNES E MIUDEZAS, COMESTÍVEIS;02084000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/BALEIAS,GOLF.BOT.,;01/01/2016;;KG;QUILOGRAMA;
02085000;CARNES E MIUDEZAS, COMESTÍVEIS;02085000 - CARN.MIUD.D/RÉPTS,SERP.TART.MAR.FR.REF.CONG.;01/01/2016;;KG;QUILOGRAMA;
02086000;CARNES E MIUDEZAS, COMESTÍVEIS;02086000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/CAMELOS E OUTROS;01/01/2016;;KG;QUILOGRAMA;
02089000;CARNES E MIUDEZAS, COMESTÍVEIS;02089000 - OUTRAS CARNES E MIUD.COMEST.FRESCO REFRIG./CONGELADOS;01/01/2016;;KG;QUILOGRAMA;
02091011;CARNES E MIUDEZAS, COMESTÍVEIS;02091011 - TOUCINHO DE PORCO FRESCO, REFRIGERADO/CONGELADO;01/01/2016;;KG;QUILOGRAMA;
02091019;CARNES E MIUDEZAS, COMESTÍVEIS;02091019 - TOUCINHO DE PORCO SALGADO,EM SALMOURA,SECO OU DEFUMADO;01/01/2016;;KG;QUILOGRAMA;
02091021;CARNES E MIUDEZAS, COMESTÍVEIS;02091021 - GORDURA DE PORCO FRESCA REFRIGERADA OU CONGELADA;01/01/2016;;KG;QUILOGRAMA;
02091029;CARNES E MIUDEZAS, COMESTÍVEIS;02091029 - GORDURA DE PORCO SALGADA OU EM SALMOURA, SECA/DEFUMADA;01/01/2016;;KG;QUILOGRAMA;
02099000;CARNES E MIUDEZAS, COMESTÍVEIS;02099000 - OUTS.GORD.DE AVES FRESC.REFR.CONG.SALG.SALM.SECOS/DEFUM;01/01/2016;;KG;QUILOGRAMA;
02101100;CARNES E MIUDEZAS, COMESTÍVEIS;02101100 - PERNAS,PÁS,ETC.Ñ DESOSS.SUÍNOS,SALG.SECAS;01/01/2016;;KG;QUILOGRAMA;
02101200;CARNES E MIUDEZAS, COMESTÍVEIS;02101200 - BARRIGAS E PEITOS Ñ DESOSS.SUÍNOS,SALG.SECA;01/01/2016;;KG;QUILOGRAMA;
02101900;CARNES E MIUDEZAS, COMESTÍVEIS;02101900 - OUTS.CARNES SUÍNAS,SALG.SECAS OU DEFUMS.;01/01/2016;;KG;QUILOGRAMA;
02102000;CARNES E MIUDEZAS, COMESTÍVEIS;02102000 - CARNES BOVINAS,SALGADAS,SECAS OU DEFUMS.;01/01/2016;;KG;QUILOGRAMA;
02109100;CARNES E MIUDEZAS, COMESTÍVEIS;02109100 - CARN.MIUD,D/PRIM.SAL.SEC.DEF.FAR.D/CARN/MIUD.;01/01/2016;;KG;QUILOGRAMA;
02109200;CARNES E MIUDEZAS, COMESTÍVEIS;"02109200 - CARNES E MIUD.;FARINH.E PÓS COMEST.D/BALEIAS,GOLF.BOTOS";01/01/2016;;KG;QUILOGRAMA;
02109300;CARNES E MIUDEZAS, COMESTÍVEIS;02109300 - CARN.MIUD.D/RÉPTEIS,SERP.TAR,DEF.F/CAR.MIUD.;01/01/2016;;KG;QUILOGRAMA;
02109900;CARNES E MIUDEZAS, COMESTÍVEIS;02109900 - OUTS.CARNES E MIUD.COMEST.FARINH.E PÓS,SALG.OU EM SALM.;01/01/2016;;KG;QUILOGRAMA;
03011110;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011110 - ARUANÃ (OSTEOGLOSSUM BICIRRHOSUM);01/01/2016;;UN;UNIDADE;Revertido pela NT 2016.001 v1.30
03011190;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011190 - OUTROS PEIXES VIVOS ORNAMENTAIS DE ÁGUA DOCE;01/01/2016;;UN;UNIDADE;Revertido pela NT 2016.001 v1.30
03011900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011900 - PEIXES VIVOS ORNAMENTAIS DE ÁGUA SALGADA;01/01/2016;;UN;UNIDADE;Revertido pela NT 2016.001 v1.30
03019110;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019110 - TRUTAS PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019190;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019190 - OUTRAS TRUTAS (SALMO TRUTTA ETC.)VIVAS;01/01/2016;;KG;QUILOGRAMA;
03019210;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019210 - ENGUIAS PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019290;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019290 - OUTRAS ENGUIAS (ANGUILLA SPP.) VIVAS;01/01/2016;;KG;QUILOGRAMA;
03019310;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019310 - CARPAS PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019390;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019390 - OUTRAS CARPAS;01/01/2016;;KG;QUILOGRAMA;
03019410;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019410 - ATUNS AZUIS PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019490;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019490 - OUTROS ATUNS AZUIS;01/01/2016;;KG;QUILOGRAMA;
03019510;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019510 - ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019590;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019590 - OUTS. ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPR.;01/01/2016;;KG;QUILOGRAMA;
03019911;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019911 - TILÁPIAS PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019912;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019912 - ESTURJÕES PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019919;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019919 - OUTROS PEIXES PARA REPRODUÇÃO;01/01/2016;;KG;QUILOGRAMA;
03019991;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019991 - OUTRAS TILÁPIAS VIVAS;01/01/2016;;KG;QUILOGRAMA;
03019992;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019992 - OUTROS ESTURJÕES VIVOS;01/01/2016;;KG;QUILOGRAMA;
03019999;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019999 - OUTROS PEIXES VIVOS;01/01/2016;;KG;QUILOGRAMA;
03021100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021100 - TRUTAS (SALMO TRUTTA,ETC.) FRESCAS OU REFR.;01/01/2016;;KG;QUILOGRAMA;
03021300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021300 - SALMÕES-DO PACÍFICO FRESCOS OU REFRIGERADOS;01/01/2016;;KG;QUILOGRAMA;
03021400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021400 - SALMÃO-DO-ATLÂNTICO E SALMÃO-DO-DANÚBIO FRESC./REFRIGER;01/01/2016;;KG;QUILOGRAMA;
03021900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021900 - OUTS.SALMONÍDEOS,FRESCOS OU REFR.,EXC.FILÉS;01/01/2016;;KG;QUILOGRAMA;
03022100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022100 - LINGUADOS-GIGANTES, FRESC.OU REFRIGERADOS;01/01/2016;;KG;QUILOGRAMA;
03022200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022200 - SOLHAS OU PATRUÇAS, FRESCAS OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
03022300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022300 - LINGUADOS (SOLEA SPP.), FRESCOS OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
03022400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022400 - PREGADO FRESCO OU REFRIGERADO;01/01/2016;;KG;QUILOGRAMA;
03022900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022900 - OUTROS PEIXES CHATOS, FRESCOS OU REFRIGERADOS;01/01/2016;;KG;QUILOGRAMA;
03023100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023100 - ATUNS-BRANCOS OU GERMÕES FRESCOS/REFR.;01/01/2016;;KG;QUILOGRAMA;
03023200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023200 - ALBACORAS(THUNNUS ALBACARES), FRES.,REFR.;01/01/2016;;KG;QUILOGRAMA;
03023300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023300 - BONITO-LISTR/VENTR RAIAD, FRES.,REFR.,EXC.FILÉS;01/01/2016;;KG;QUILOGRAMA;
03023400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023400 - ALBACORAS-BAND.(THUNN OBESUS)FRESC.REFR.;01/01/2016;;KG;QUILOGRAMA;
03023500;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023500 - ATUNS AZUIS, FRESCOS OU REFRIGERADO;01/01/2016;;KG;QUILOGRAMA;
