cd_UGestora,nu_Licitacao,tp_Licitacao,dt_Ano,dt_Homologacao,de_Obs,vl_Licitacao,nu_Propostas,dt_MesAno
101034,000022016,11,2016,2016-09-01 00:00:00,"LOCACAO DE 01 (UM) VEICULO, PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL DE BOQUEIRAO",8800,1,092016
101035,000022016,8,2016,2016-05-06 00:00:00,CONTRATACAO DE PROFISSIONAL COM NOTORIA ESPECIALIDADE NA AREA DO DIREITO PUBLICO PARA EFEITO DE PRESTACAO DE SERVICOS TE,12000,1,082016
101037,000032016,3,2016,2016-05-31 00:00:00,CONTRATACAO DE EMPRESA PARA O FORNECIMENTO PARCIAL DE COMBUSTIVEIS E DERIVADOS DO PETROLEO DESTINADOS AO VEICULO DESTA C,16350,3,052016
101039,000032016,11,2016,2016-12-26 00:00:00,"CONTRATACAO DE EMPRESA PARA AQUISICAO DE 01 (UM) COMPUTADOR, 02 (DOIS) NOTEBOOKS, 01 (UM) HD EXTERNO, 01 (UM) MULTIFUNCI",14270,2,122016
101046,000052016,11,2016,2016-07-14 00:00:00,"REGISTRO DE PRECO PARA AQUISICAO DE GENEROS ALIMENTICIOS, MATERIAIS DE LIMPEZA, COPA E COZINHA, COM FORNECIMENTO PARCELA",43000.5,1,072016
101047,000012016,2,2016,2016-03-23 00:00:00,"CONTRATACAO DE SERVICOS DE PESSOA JURIDICA OU FISICA PARA PRESTACAO DE SERVICOS DE FILMAGENS, FOTOS E DIVULGACAO DAS PRO",18000,1,092016
101047,000012016,8,2016,2016-02-11 00:00:00,CONTRATACAO DE SERVICOS TECNICOS DE CONSULTORIA E ASSESSORIA JURIDICA PARA A CAMARA MUNICIPAL DE CAJAZEIRINHAS-PB.,33000,1,112016
101047,000022016,8,2016,2016-03-01 00:00:00,CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS NA AREA DE CONTABILIDADE PUBLICA PARA A CAMARA MUNICIPAL DE CAJAZEIRINHA,27000,1,112016
101048,000012016,2,2016,2016-08-01 00:00:00,CONTRATACAO DE EMPRESA ESPECIALIZADA EM SERVICOS DE ASSESSORIA TECNICA NA ELABORACAO DE FOLHA DE PAGAMENTO DA CAMARA MUN,18000,1,082016
101048,000012016,8,2016,2016-05-04 00:00:00,"CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE ASSESSORIA, CONSULTORIA E ACOMPANHAMENTO DE PROCESSOS LICITATORIOS E ",15200,1,052016
101048,000012016,12,2016,2016-05-25 00:00:00,LOCACAO DE VEICULO DESTINADO A MANUTENCAO DAS ATIVIDADES DESSA CASA LEGISLATIVA.,18000,1,052016
101048,000022016,8,2016,2016-05-13 00:00:00,CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE  CONTABILIDADE DESTINADOS A CAMARA MUNICIPAL DE CALDAS BRANDAO.,22500,1,052016
101050,000012015,3,2016,2015-04-28 00:00:00,"FORNECIMENTO DE: ""MOVEIS PARA ESCRITORIO EM GERAL"", DE ACORDO COM AS CONDICOES ESTABELECIDAS NO EDITAL E SEUS ANEXOS.",85000,2,092016
101050,000012016,3,2016,2016-06-30 00:00:00,"A PRESENTE LICITACAO TEM POR OBJETO A SELECAO DE EMPRESA(S) PARA AQUISICAO DE ""MESA DE SOM DIGITAL COM 32 CANAIS"" DE ACO",25100,2,082016
101050,000012016,8,2016,2016-06-01 00:00:00,"PRESTACAO DE SERVICOS DE ASSESSORIA DE ACOMPANHAMENTO DE GESTAO, ON LINE, JUNTO AO TRIBUNAL DE CONTAS DO ESTADO DA PARAI",35000,1,082016
101050,000012016,12,2016,2016-07-11 00:00:00,"FORNECIMENTO DE MATERIAIS PARA A INSTALACAO DE FORRO MINERAL, LUMINARIAS, PERSIANAS E REVESTIMENTO FLUTUANTE, NA SALA DO",104998.26,1,082016
101050,000022015,3,2016,2015-04-09 00:00:00,"FORNECIMENTO DE: ""COPIAS XEROGRAFICAS E IMPRESSOS EM GERAL"", DE ACORDO COM AS CONDICOES ESTABELECIDAS NO EDITAL E SEUS A",75000,2,092016
101050,000032015,3,2016,2015-08-26 00:00:00,"FORNECIMENTO DE LAMPADA, LUMINARIA, REFLETOR E BALIZADOR EM LED PARA ESCRITORIO EM GERAL, NO PERIODO DE SETEMBRO A DEZEM",25371.8,1,092016
101050,000052016,3,2016,2016-12-13 00:00:00,"PRODUCAO DE VIDEO INSTITUCIONAL PARA DOCUMENTAR E REGISTRAR AS ACOES DAS EPOCAS COM REFORMAS, MELHORIAS, ACESSIBILIDADE,",38500,1,122016
101052,000022016,8,2016,2016-05-02 00:00:00,"PRESTACAO DE SERVICOS JURIDICOS EM FORMA DE ASSESSORAMENTO E CONSULTORIA ESPECIALIZADA NAS ESFERAS INTERNAS E EXTERNAS, ",21600,1,052016
101053,000012016,11,2016,2016-07-25 00:00:00,AQUISICAO DE APARELHOS DE AR CONDICIONADO,5727,1,082016
101054,000012016,11,2016,2016-05-03 00:00:00,"AQUISICAO PARCELADA DE COMBUSTIVEIS E DERIVADOS DE PETROLEO, PARA FUNCIONAMENTO E CONSUMO DA CAMARA MUNICIPAL",16640,1,052016
101055,000012016,11,2016,2016-05-11 00:00:00,AQUISICAO PARCELADA DE COMBUSTIVEL (GASOLINA) PARA ABASTECER O VEICULO LOCADO A ESTA CAMARA,11790,1,052016
101055,000022016,11,2016,2016-06-30 00:00:00,"LOCACAO DE VEICULO COM MOTORISTA, TIPO PASSEIO, MOTOR 1.0, PARA ATENDER  AS NECESSIDADES DA CAMARA MUNICIPAL",18760,2,072016
101057,000042016,11,2016,2016-06-08 00:00:00,"AQUISICAO GRADUAL DE MATERIAL DE LIMPEZA, CONSERVACAO E DESCARTAVEIS PARA ATENDER A DEMANDA DESTA CASA LEGISLATIVA",16894.5,1,062016
101057,000052016,11,2016,2016-06-08 00:00:00,"AQUISICAO GRADUAL DE MATERIAL DE EXPEDIENTE, CONSUMO E ESCRITORIO PARA ATENDER A DEMANDA DESTA CASA LEGISLATIVA",11880.54,1,062016
101057,000062016,11,2016,2016-06-08 00:00:00,CONTRATACAO DE EMPRESA ESPECIALIZADA PARA OS SERVICOS DE DESENVOLVIMENTO E MANUTENCAO DA PAGINA OFICIAL DA CAMARA MUN. D,10430,1,062016
101057,000072016,11,2016,2016-10-19 00:00:00,AQUISICAO DE MOBILIARIO E EQUIPAMENTOS DE INFORMATICA PARA ESTA CASA LEGISLATIVA,48340,1,102016
101058,000012016,8,2016,2016-07-01 00:00:00,AQUISICAO DE COMBUSTIVEIS,8564.4,1,082016
101058,000012016,11,2016,2016-08-31 00:00:00,LOCACAO DE VEICULO AUTOMOTOR,8000,1,082016
101060,000012016,11,2016,2016-05-27 00:00:00,CONTRATACAO DE EMPRESA DESTINADA AO FORNECIMENTO PARCELADO DE COMBUSTIVEIS PARA ATENDER AS NECESSIDADES DESTA CAMARA MUN,23700,1,052016
101060,000022016,8,2016,2016-05-06 00:00:00,CONTRATACAO DE ESCRITORIO PARA PRESTACAO DE SERVICO DE ASSESSORIA JURIDICA PARA ESTA EDILIDADE.,14400,1,052016
101060,000022016,11,2016,2016-05-27 00:00:00,"CONTRATACAO DE EMPRESA DESTINADA AO SERVICO PRESTADO COM PROCESSAMENTO DE DADOS DA FOLHA DE PAGAMENTO, GERACAO DE GFIP E",14400,1,052016
101060,000032016,11,2016,2016-05-27 00:00:00,LOCACAO DE UM VEICULO PARA ATENDER A DEMANDA DESTA CAMARA MUNICIPAL.,11200,1,052016
101063,000012016,2,2016,2016-08-30 00:00:00,AQUISICAO PARCELADO DE GASOLINA COMUM PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL DE COREMAS.,13475,1,112016
101063,000012016,8,2016,2016-03-18 00:00:00,CONTRATACAO DIRETA DE PROFISSIONAL PARA PRESTACAO DE SERVICOS TECNICOS ESPECIALIZADOS EM ASSESSORIA E CONSULTORIA CONTAB,30000,1,092016
101069,000012016,2,2016,2016-05-02 00:00:00,"AQUISICOES DE GASOLINA E OLEO LUBRIFICANTE, DESTINADOS A ABASTECIMENTO(S) / MANUTENCAO(OES) DE VEICULO(S) PERTENCENTE(S)",12614.4,1,052016
101073,000012016,2,2016,2016-05-13 00:00:00,CONTRATACAO DE EMPRESA PARA EXECUCAO DOS SERVICOS DE CONSTRUCAO DA GARAGEM E REFORMA DA CAMARA MUNICIPAL DE DESTERRO - P,32142.28,1,052016
101073,000012016,7,2016,2016-01-14 00:00:00,"CONTRATACAO DE SERVICOS ESPECIALIZADOS EM ASSESSORIA TECNICA CONTABIL, ADMINISTRATIVA E FINANCEIRA NA AREA PUBLICA PARA ",36000,1,122016
101073,000022016,8,2016,2016-03-07 00:00:00,CONTRATACAO DE SERVICOS DE ASSESSORIA E CONSULTORIA JURIDICA,30000,1,122016
101074,000012016,3,2016,2016-05-24 00:00:00,"LOCACAO DE 1 (UM) VEICULO AUTOMOVEL, TIPO PASSEIO PARA A CAMARA DE VEREADORES DE DIAMANTE/PB.",13200,3,082016
101074,000012016,7,2016,2016-07-22 00:00:00,FORNECIMENTO DE COMBUSTIVEL DESTINADO AO ABASTECIMENTO DE VEICULO PERTENCENTES OU LOCADO A CAMARA DE VEREADORES DE DIAMA,11987.9,1,082016
101074,000022016,2,2016,2016-06-09 00:00:00,"CONTRATACAO DE SOFTWARE COM  SISTEMAS NAS AREAS DE CONTABILIDADE, FOLHA DE PAGAMENTO E PORTAL DA TRANSPARENCIA DA CAMARA",7200,1,082016
101074,000022016,7,2016,2016-08-03 00:00:00,"CONTRATACAO DE ESCRITORIO PARA PREPARACAO DE DOCUMENTOS DE APOIO ADMINISTRATIVO NA ELABORACAO DE GFIP, RAIS, DIRF, ENTRE",5500,1,112016
101075,000012016,11,2016,2016-08-26 00:00:00,AQUISICAO PARCELADA DE COMBUSTIVEL PARA ABASTECER O VEICULO PERTENCENTE A CAMARA MUNICIPAL,9375,1,082016
101082,000042016,8,2016,2016-10-04 00:00:00,"PRESTACOES DE SERVICOS ADVOCATICIOS, EMISSOES DE PARECERES, DEFESAS EM PROCESSOS CONTENCIOSOS E ADMINISTRATIVOS PARA OS ",10500,1,112016
101088,000012016,8,2016,2016-04-07 00:00:00,"CONTRATACAO DE SERVICOS PROFISSIONAIS DE ADVOCACIA DE NATUREZA CONTINUA, NO AMBITO JUDICIAL E ADMINISTRATIVO, COM O FIM ",24300,1,102016
101088,000022016,8,2016,2016-05-06 00:00:00,"CONTRATACAO DA EMPRESA ARTHUR JOSE ALBUQUERQUE GADELHA - ME, PARA PRESTAR A ESTA CASA LEGISLATIVA, SERVICOS TECNICOS ESP",21600,1,102016
101090,000012016,7,2016,2016-07-14 00:00:00,AQUISICAO PARCELADA DE COMBUSTIVEL DESTINADO AO ABASTECIMENTO DE VEICULOS  LOCADOS OU PERTENCENTES A CAMARA MUNICIPAL DE,38000,3,122016
101090,000012016,11,2016,2016-12-21 00:00:00,AQUISICAO DE VEICULOS DESTINADOS AO PODER LEGISLATIVO DO MUNICIPIO DE ITAPORANGA-PB,39000,1,122016
101090,000032016,2,2016,2016-05-11 00:00:00,"CONTRATACAO DE EMPRESA PARA PREPARACAO DE DOCUMENTOS DE APOIO ADMINISTRATIVO NA ELABORACAO DE GFIP, RAIS, DIRF, ENTRE OU",7000,1,082016
101093,000022016,2,2016,2016-06-01 00:00:00,LOCACAO DE SOFTWARE PARA DESENVOLVIMENTO DAS ATIVIDADES FINANCEIRAS E ADMINISTRATIVAS DA CAMARA MUNICIPAL DE JACARAU,12600,1,062016
101095,000032016,12,2016,2016-11-08 00:00:00,"FORNECIMENTO DE MATERIAIS DE CONSUMO, SUBCATEGORIA - LIMPEZA.",68441.28,1,112016
101095,000042016,11,2016,2016-05-23 00:00:00,CONTRATACAO DE EMPRESA ESPECIALIZADA NO RAMO PARA FORNECIMENTO DE EQUIPAMENTOS E MATERIAL DE CONSUMO DESTINADOS A TV CAM,50224,3,052016
101095,000042016,12,2016,2016-12-07 00:00:00,FORNECIMENTO E INSTALACAO DE TRATAMENTO ACUSTICO COMPLETO.,24592.62,1,122016
101095,000052016,11,2016,2016-05-30 00:00:00,CONTRATACAO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE BATERIAS E CARTOES DE MEMORIA DESTINADOS A TV CAMARA.,23050,2,052016
101095,000072016,11,2016,2016-12-03 00:00:00,"A PRESENTE LICITACAO TEM POR OBJETO A CONTRATACAO DE EMPRESA ESPECIALIZADA NO RAMO PARA FORNECIMENTOS DE MATERIAIS, PECA",795466.98,3,122016
101095,000072016,12,2016,2016-12-20 00:00:00,SERVICOS DE BUFFET.,35100,1,122016
101095,000082016,11,2016,2016-12-01 00:00:00,"CONTRATACAO DE EMPRESA ESPECIALIZADA NO RAMO PARA FORNECIMENTO DE MATERIAL DE CONSUMO, SUBCATEGORIA  ALIMENTICIO, DESTIN",29835,3,122016
101095,000092016,11,2016,2016-12-01 00:00:00,"CONTRATACAO DE EMPRESA ESPECIALIZADA NO RAMO PARA FORNECIMENTO DE MATERIAL DE CONSUMO, SUBCATEGORIA  DESCARTAVEL, DESTIN",23887.5,4,122016
101096,000012016,8,2016,2016-05-06 00:00:00,CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE ASSESSORIA E CONSULTORIA CONTABIL.,16000,1,112016
101096,000022016,8,2016,2016-05-11 00:00:00,CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE ASSESSORIA E CONSULTORIA JURIDICA NO AMBITO JUDICIAL E ADMINISTRATIVO,16000,1,112016
101097,000012016,11,2016,2016-05-06 00:00:00,LOCACAO DE VEICULO DESTINADO AS ATIVIDADES ADMINISTRATIVAS DA CAMARA MUNICIPAL DE JUAZEIRINHO-PB,20000,1,122016
101097,000022016,11,2016,2016-05-06 00:00:00,AQUISICAO PARCELADA DE COMBUSTIVEIS E LUBRIFICANTES DESTINADOS A VEICULOS DA FROTA DA CAMARA MUNICIPAL DE JUAZEIRINHO-PB,23260.9,1,122016
101097,000032016,11,2016,2016-12-22 00:00:00,AQUISICAO DE EQUIPAMETOS DE INFORMATICA DESTINADOS AO PODER LEGISLATIVO DO MUNICIPIO DE JUAZEIRINHO-PB,29150,1,122016
101100,000012016,8,2016,2016-05-06 00:00:00,"CONTRATACAO DE ASSESSOR JURIDICO, PARA ELABORACCAO DE DEFESAS EM TRIBUNAIS, PARECERES DAS COMISSOES E CONTRATOS, DE ACOR",22500,1,062016
101101,000022016,8,2016,2016-07-01 00:00:00,CONTRATACAO DOS SERVICOS DE ASSESSORIA JURIDICA PARA ACOMPANHAMENTO DE PROCESSOS JUDICIAIS,7200,1,072016
101102,000012016,2,2016,2016-05-27 00:00:00,"LOCACAO DE UM VEICULO TIPO PASSEIO, PARA FICAR A DISPOSICAO DESTA CASA LEGISLATIVA.",17500,1,062016
101102,000022016,2,2016,2016-05-27 00:00:00,"AQUISICAO DE GASOLINA COMUM, OLEO LUBRIFICANTE E FILTRO DE OLEO, DESTINADOS A ABASTECIMENTOS E MANUTENCAO DE VEICULO (S)",16232,1,062016
101102,000022016,8,2016,2016-08-01 00:00:00,"CONTRATACAO DE UM PROFISSIONAL DETENTOR DE NOTORIA ESPECIALIZACAO, PARA PRESTACAO DE SERVICOS PROFISSIONAIS NA FUNCAO DE",9500,1,082016
101108,000042016,2,2016,2016-05-09 00:00:00,"AQUISICAO DE COMBUSTIVEL E PRODUTOS DERIVADOS DE PETROLEO, TIPO GASOLINA, DESTINADOS A VEICULOS COLOCADOS A DISPOSICAO O",12352,1,102016
101109,000012016,8,2016,2016-05-02 00:00:00,"SERVICOS TECNICOS ESPECIALIZADOS NA AREA CONTABIL COM ELABORACAO DE BALANCETES MENSAIS DA CAMARA, DO SISTEMA DE CONTABIL",51600,1,052016
101113,000012016,8,2016,2016-03-09 00:00:00,SERVICOS PERMANENTES DE ASSESSORIA E CONSULTORIA JURIDICA.,36000,1,092016
101116,000012016,2,2016,2016-05-31 00:00:00,AQUISICAO DE AR-CONDICIONADO DE 12.000 BTU/H TIPO SPLIT DESTINADO A CAMARA MUNICIPAL DE MATARACA,18000,1,062016
101119,000012016,8,2016,2016-05-02 00:00:00,"SERVICOS TECNICOS ESPECIALIZADOS NA AREA CONTABIL COM ELABORACAO DE BALANCETES MENSAIS DA CAMARA, DO SISTEMA DE CONTABIL",45500,1,052016
101120,000012015,7,2016,2015-09-03 00:00:00,"LOCACAO DE VEICULO, TIPO PASSEIO, COM CAPACIDADE PARA 05 (CINCO) PASSAGEIROS, DESTINADO PARA FICAR A DISPOSICAO DA CAMAR",3800,1,052016
101120,000012015,12,2016,2015-11-23 00:00:00,"AQUISICAO DE COMBUSTIVEL, DESTINADO AO ABASTECIMENTO DO VEICULO QUE FICA A DISPOSICAO DA CAMARA MUNICIPAL",6004.25,1,052016
101120,000012016,8,2016,2016-03-01 00:00:00,CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE ASSESSORIA E CONSULTORIA CONTABIL DA CAMARA MUNICIPAL.,44000,1,092016
101127,000012016,11,2016,2016-12-08 00:00:00,AQUISICAO DE GENEROS ALIMENTICIOS E MATERIAL DE LIMPEZA PRODUTOS DE 1 QUALIDADE PARA O FUNCIONAMENTO DA CAMARA MUNICIPAL,15185.5,1,122016
101129,000012016,11,2016,2016-04-18 00:00:00,"SELECAO DE MELHOR PROPOSTA DE PRECOS, POR ITEM, PARA CONTRATACAO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE COMBUSTIVEL",10374,1,062016
101130,000012016,8,2016,2016-05-02 00:00:00,"SERVICOS TECNICOS ESPECIALIZADOS NA AREA CONTABIL COM ELABORACAO DE BALANCETES MENSAIS DA CAMARA, DO SISTEMA DE CONTABIL",50700,1,052016
101131,000032016,3,2016,2016-07-15 00:00:00,COMPRA DE MOVEIS E UTENSILIOS ADMINISTRATIVOS PROJETADOS PARA A CAMARA DE VEREADORES NO EXERCICIO DE 2016.,17000,2,122016
101135,000102016,11,2016,2016-05-25 00:00:00,"CONTRATACAO VISANDO FORNECIMENTO PARCELADO DE MATERIAL PERMANENTE, PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL DE V",106122,1,052016
101135,000112016,11,2016,2016-05-24 00:00:00,"CONTRATACAO VISANDO FORNECIMENTO PARCELADO DE ALIMENTOS NAO PERECIVEIS, PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL",38011.8,1,052016
101136,000012016,11,2016,2016-05-23 00:00:00,CONTRATACAO DE EMPRESA DESTINADA AO FORNECIMENTO PARCELADO DE COMBUSTIVEIS PARA ATENDER AS NECESSIDADES DESTA CAMARA MUN,23700,1,052016
101136,000042016,8,2016,2016-04-06 00:00:00,"CONTRATACAO DE SERVICOS DE CONSULTORIA LEGISLATIVA A MESA DIRETORA, AS COMISSOES PERMANENTES E TEMPORARIAS E AOS VEREADO",33300,1,052016
101137,000032016,2,2016,2016-05-02 00:00:00,"CONTRATACAO DE EMPRESA PARA PREPARACAO DE DOCUMENTOS DE APOIO ADMINISTRATIVO NA ELABORACAO DE GFIP, RAIS, DIRF, ENTRE OU",9840,1,052016
101138,000012016,11,2016,2016-04-04 00:00:00,AQUISICAO DE COMBUSTIVEIS,18743.31,1,062016
101141,000012016,11,2016,2016-05-06 00:00:00,AQUISICAO PARCELADA DE MATERIAL DE EXPEDIENTE PARA A CAMARA MUNICIPAL DE PIANCO - PB.,20818.9,1,052016
101141,000022016,8,2016,2016-06-10 00:00:00,PRESTACAO DE SERVICOS DE CONSULTORIA JURIDICA PERANTE A MESA DIRETORA DA CAMARA MUNICIPAL DE PIANCO - PB,16200000,1,062016
